timestamp,timestamp_ist,open,high,low,close,volume,signal_mean,signal_min,signal_max,signal_std,news_count,neg_count
2025-12-18 09:15:00,2025-12-18 09:15:00+05:30,2225.699951171875,2229.0,2211.199951171875,2224.199951171875,59311,0.0,0.0,0.0,0.0,0,0
2025-12-18 10:15:00,2025-12-18 10:15:00+05:30,2224.199951171875,2240.5,2222.0,2230.89990234375,101061,0.0,0.0,0.0,0.0,0,0
2025-12-18 11:15:00,2025-12-18 11:15:00+05:30,2230.800048828125,2245.0,2227.5,2241.800048828125,59938,0.0,0.0,0.0,0.0,0,0
2025-12-18 12:15:00,2025-12-18 12:15:00+05:30,2242.0,2244.89990234375,2238.0,2242.60009765625,43271,0.0,0.0,0.0,0.0,0,0
2025-12-18 13:15:00,2025-12-18 13:15:00+05:30,2241.39990234375,2243.0,2227.800048828125,2229.800048828125,36983,0.0,0.0,0.0,0.0,0,0
2025-12-18 14:15:00,2025-12-18 14:15:00+05:30,2229.60009765625,2233.5,2220.300048828125,2230.0,99477,0.0,0.0,0.0,0.0,0,0
2025-12-18 15:15:00,2025-12-18 15:15:00+05:30,2229.89990234375,2231.10009765625,2224.10009765625,2230.300048828125,34948,0.0,0.0,0.0,0.0,0,0
2025-12-19 09:15:00,2025-12-19 09:15:00+05:30,2240.0,2249.800048828125,2229.0,2230.0,59311,0.0,0.0,0.0,0.0,0,0
2025-12-19 10:15:00,2025-12-19 10:15:00+05:30,2230.0,2233.199951171875,2225.5,2228.5,99048,0.0,0.0,0.0,0.0,0,0
2025-12-19 11:15:00,2025-12-19 11:15:00+05:30,2228.0,2228.5,2217.699951171875,2222.699951171875,84679,0.0,0.0,0.0,0.0,0,0
2025-12-19 12:15:00,2025-12-19 12:15:00+05:30,2222.699951171875,2224.0,2210.0,2213.89990234375,110401,-0.8637013509869576,-0.8637013509869576,-0.8637013509869576,0.0,1,1
2025-12-19 13:15:00,2025-12-19 13:15:00+05:30,2212.800048828125,2230.0,2212.699951171875,2226.39990234375,104716,0.0,0.0,0.0,0.0,0,0
2025-12-19 14:15:00,2025-12-19 14:15:00+05:30,2226.0,2241.800048828125,2225.60009765625,2239.5,167760,0.0,0.0,0.0,0.0,0,0
2025-12-19 15:15:00,2025-12-19 15:15:00+05:30,2239.199951171875,2243.89990234375,2237.60009765625,2239.0,94113,0.0,0.0,0.0,0.0,0,0
2025-12-22 09:15:00,2025-12-22 09:15:00+05:30,2251.300048828125,2266.699951171875,2246.10009765625,2257.89990234375,59311,0.1305881142616272,0.1305881142616272,0.1305881142616272,0.0,1,0
2025-12-22 10:15:00,2025-12-22 10:15:00+05:30,2258.300048828125,2274.0,2258.300048828125,2267.10009765625,108004,0.0,0.0,0.0,0.0,0,0
2025-12-22 11:15:00,2025-12-22 11:15:00+05:30,2267.0,2270.0,2261.199951171875,2266.0,58684,0.0,0.0,0.0,0.0,0,0
2025-12-22 12:15:00,2025-12-22 12:15:00+05:30,2266.0,2269.199951171875,2260.0,2263.0,28058,0.0,0.0,0.0,0.0,0,0
2025-12-22 13:15:00,2025-12-22 13:15:00+05:30,2263.0,2269.0,2261.0,2268.5,40834,0.8235461488366127,0.8235461488366127,0.8235461488366127,0.0,1,0
2025-12-22 14:15:00,2025-12-22 14:15:00+05:30,2268.5,2268.5,2261.300048828125,2265.39990234375,78275,0.0,0.0,0.0,0.0,0,0
2025-12-22 15:15:00,2025-12-22 15:15:00+05:30,2264.10009765625,2266.39990234375,2259.60009765625,2261.10009765625,71738,0.0,0.0,0.0,0.0,0,0
2025-12-23 09:15:00,2025-12-23 09:15:00+05:30,2271.800048828125,2271.800048828125,2255.699951171875,2266.5,59311,0.0,0.0,0.0,0.0,0,0
2025-12-23 10:15:00,2025-12-23 10:15:00+05:30,2266.300048828125,2267.5,2260.0,2266.800048828125,42553,0.0,0.0,0.0,0.0,0,0
2025-12-23 11:15:00,2025-12-23 11:15:00+05:30,2266.800048828125,2267.5,2258.0,2259.60009765625,30424,0.0,0.0,0.0,0.0,0,0
2025-12-23 12:15:00,2025-12-23 12:15:00+05:30,2259.5,2261.800048828125,2250.0,2251.60009765625,54845,0.0,0.0,0.0,0.0,0,0
2025-12-23 13:15:00,2025-12-23 13:15:00+05:30,2252.699951171875,2256.0,2250.5,2255.5,26039,0.0,0.0,0.0,0.0,0,0
2025-12-23 14:15:00,2025-12-23 14:15:00+05:30,2255.5,2261.39990234375,2246.199951171875,2251.39990234375,105921,0.0,0.0,0.0,0.0,0,0
2025-12-23 15:15:00,2025-12-23 15:15:00+05:30,2251.300048828125,2251.39990234375,2245.0,2246.0,62903,0.0,0.0,0.0,0.0,0,0
,,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,0.0,0.0,0.0,0.0,0,0
