timestamp,timestamp_ist,open,high,low,close,volume
,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2025-12-26 03:45:00+00:00,2025-12-26 09:15:00+05:30,3313.10009765625,3320.0,3298.39990234375,3299.10009765625,220981
2025-12-26 04:45:00+00:00,2025-12-26 10:15:00+05:30,3299.89990234375,3300.0,3285.0,3289.699951171875,266186
2025-12-26 05:45:00+00:00,2025-12-26 11:15:00+05:30,3289.39990234375,3291.10009765625,3280.60009765625,3283.0,142575
2025-12-26 06:45:00+00:00,2025-12-26 12:15:00+05:30,3283.39990234375,3289.699951171875,3281.10009765625,3285.800048828125,126988
2025-12-26 07:45:00+00:00,2025-12-26 13:15:00+05:30,3285.800048828125,3288.60009765625,3278.0,3281.39990234375,150036
2025-12-26 08:45:00+00:00,2025-12-26 14:15:00+05:30,3280.60009765625,3284.0,3277.699951171875,3281.5,220981
2025-12-26 09:45:00+00:00,2025-12-26 15:15:00+05:30,3281.39990234375,3284.699951171875,3274.0,3276.89990234375,105645
2025-12-29 03:45:00+00:00,2025-12-29 09:15:00+05:30,3280.300048828125,3287.800048828125,3258.60009765625,3265.89990234375,220981
2025-12-29 04:45:00+00:00,2025-12-29 10:15:00+05:30,3265.699951171875,3266.39990234375,3254.39990234375,3255.0,188183
2025-12-29 05:45:00+00:00,2025-12-29 11:15:00+05:30,3254.800048828125,3259.199951171875,3251.39990234375,3258.89990234375,167796
2025-12-29 06:45:00+00:00,2025-12-29 12:15:00+05:30,3258.89990234375,3263.800048828125,3251.5,3256.60009765625,306527
2025-12-29 07:45:00+00:00,2025-12-29 13:15:00+05:30,3256.60009765625,3259.39990234375,3248.0,3251.39990234375,359361
2025-12-29 08:45:00+00:00,2025-12-29 14:15:00+05:30,3251.300048828125,3255.89990234375,3242.89990234375,3252.300048828125,722621
2025-12-29 09:45:00+00:00,2025-12-29 15:15:00+05:30,3251.800048828125,3258.5,3250.0,3255.0,125534
2025-12-30 03:45:00+00:00,2025-12-30 09:15:00+05:30,3250.0,3253.0,3239.800048828125,3248.89990234375,220981
2025-12-30 04:45:00+00:00,2025-12-30 10:15:00+05:30,3249.0,3257.0,3247.39990234375,3250.89990234375,233357
2025-12-30 05:45:00+00:00,2025-12-30 11:15:00+05:30,3251.300048828125,3253.10009765625,3244.39990234375,3246.5,413549
2025-12-30 06:45:00+00:00,2025-12-30 12:15:00+05:30,3246.60009765625,3264.0,3245.699951171875,3262.39990234375,357645
2025-12-30 07:45:00+00:00,2025-12-30 13:15:00+05:30,3263.199951171875,3266.5,3252.0,3252.10009765625,311283
2025-12-30 08:45:00+00:00,2025-12-30 14:15:00+05:30,3252.5,3255.300048828125,3239.60009765625,3246.699951171875,984946
2025-12-30 09:45:00+00:00,2025-12-30 15:15:00+05:30,3247.0,3255.5,3246.699951171875,3246.800048828125,329789
